species,matric_pot,hyphal_rate,type
p.sang.s,-0.0,6.34805707004957e-07,smoothed
p.sang.s,-0.01,1.32650904497941e-06,smoothed
p.sang.s,-0.02,2.72e-06,smoothed
p.sang.s,-0.03,5.47324592086745e-06,smoothed
p.sang.s,-0.04,1.08078045853687e-05,smoothed
p.sang.s,-0.05,2.09443299524041e-05,smoothed
p.sang.s,-0.06,3.98334587961995e-05,smoothed
p.sang.s,-0.07,7.43531531403897e-05,smoothed
p.sang.s,-0.08,0.0001362195,smoothed
p.sang.s,-0.09,0.0002449555,smoothed
p.sang.s,-0.1,0.0004323794,smoothed
p.sang.s,-0.11,0.0007491966,smoothed
p.sang.s,-0.12,0.0012743962,smoothed
p.sang.s,-0.13,0.0021282279,smoothed
p.sang.s,-0.14,0.0034895224,smoothed
p.sang.s,-0.15,0.0056179746,smoothed
p.sang.s,-0.16,0.0088816546,smoothed
p.sang.s,-0.17,0.0137894121,smoothed
p.sang.s,-0.18,0.0210269409,smoothed
p.sang.s,-0.19,0.0314941073,smoothed
p.sang.s,-0.2,0.0463397637,smoothed
p.sang.s,-0.21,0.0669888559,smoothed
p.sang.s,-0.22,0.0951554022,smoothed
p.sang.s,-0.23,0.1328342018,smoothed
p.sang.s,-0.24,0.18226425,smoothed
p.sang.s,-0.25,0.2458581052,smoothed
p.sang.s,-0.26,0.3260940473,smoothed
p.sang.s,-0.27,0.4253717858,smoothed
p.sang.s,-0.28,0.5458374309,smoothed
p.sang.s,-0.29,0.6891888798,smoothed
p.sang.s,-0.3,0.8564778894,smoothed
p.sang.s,-0.31,1.0479289601,smoothed
p.sang.s,-0.32,1.2627968418,smoothed
p.sang.s,-0.33,1.4992833016,smoothed
p.sang.s,-0.34,1.7545294796,smoothed
p.sang.s,-0.35,2.0246929735,smoothed
p.sang.s,-0.36,2.3051095191,smoothed
p.sang.s,-0.37,2.5905290603,smoothed
p.sang.s,-0.38,2.8754066451,smoothed
p.sang.s,-0.39,3.1542214445,smoothed
p.sang.s,-0.4,3.4217934591,smoothed
p.sang.s,-0.41,3.6735677906,smoothed
p.sang.s,-0.42,3.9058406446,smoothed
p.sang.s,-0.43,4.1159087923,smoothed
p.sang.s,-0.44,4.30213378,smoothed
p.sang.s,-0.45,4.463922224,smoothed
p.sang.s,-0.46,4.6016325592,smoothed
p.sang.s,-0.47,4.7164254093,smoothed
p.sang.s,-0.48,4.8100785897,smoothed
p.sang.s,-0.49,4.8847884696,smoothed
p.sang.s,-0.5,4.9429773635,smoothed
p.sang.s,-0.51,4.9871225127,smoothed
p.sang.s,-0.52,5.0196169986,smoothed
p.sang.s,-0.53,5.0426675139,smoothed
p.sang.s,-0.54,5.0582290882,smoothed
p.sang.s,-0.55,5.0679731353,smoothed
p.sang.s,-0.56,5.0732827957,smoothed
p.sang.s,-0.57,5.0752684665,smoothed
p.sang.s,-0.58,5.0747964404,smoothed
p.sang.s,-0.59,5.0725243911,smoothed
p.sang.s,-0.6,5.068938716,smoothed
p.sang.s,-0.61,5.0643901772,smoothed
p.sang.s,-0.62,5.0591256277,smoothed
p.sang.s,-0.63,5.0533147458,smoothed
p.sang.s,-0.64,5.0470715495,smoothed
p.sang.s,-0.65,5.0404710243,smoothed
p.sang.s,-0.66,5.0335615153,smoothed
p.sang.s,-0.67,5.0263736567,smoothed
p.sang.s,-0.68,5.0189266082,smoothed
p.sang.s,-0.69,5.0112322818,smoothed
p.sang.s,-0.7,5.0032981267,smoothed
p.sang.s,-0.71,4.9951289134,smoothed
p.sang.s,-0.72,4.9867278483,smoothed
p.sang.s,-0.73,4.9780972507,smoothed
p.sang.s,-0.74,4.9692389546,smoothed
p.sang.s,-0.75,4.9601545406,smoothed
p.sang.s,-0.76,4.9508454675,smoothed
p.sang.s,-0.77,4.9413131441,smoothed
p.sang.s,-0.78,4.9315589678,smoothed
p.sang.s,-0.79,4.9215843451,smoothed
p.sang.s,-0.8,4.9113907015,smoothed
p.sang.s,-0.81,4.9009794867,smoothed
p.sang.s,-0.82,4.8903521768,smoothed
p.sang.s,-0.83,4.8795102752,smoothed
p.sang.s,-0.84,4.8684553128,smoothed
p.sang.s,-0.85,4.8571888479,smoothed
p.sang.s,-0.86,4.8457124662,smoothed
p.sang.s,-0.87,4.83402778,smoothed
p.sang.s,-0.88,4.8221364284,smoothed
p.sang.s,-0.89,4.8100400765,smoothed
p.sang.s,-0.9,4.7977404151,smoothed
p.sang.s,-0.91,4.7852391607,smoothed
p.sang.s,-0.92,4.7725380544,smoothed
p.sang.s,-0.93,4.7596388622,smoothed
p.sang.s,-0.94,4.746543374,smoothed
p.sang.s,-0.95,4.7332534037,smoothed
p.sang.s,-0.96,4.7197707883,smoothed
p.sang.s,-0.97,4.7060973879,smoothed
p.sang.s,-0.98,4.6922350851,smoothed
p.sang.s,-0.99,4.6781857843,smoothed
p.sang.s,-1.0,4.6639514118,smoothed
p.sang.s,-1.01,4.6495339151,smoothed
p.sang.s,-1.02,4.6349352622,smoothed
p.sang.s,-1.03,4.6201574415,smoothed
p.sang.s,-1.04,4.6052024614,smoothed
p.sang.s,-1.05,4.5900723494,smoothed
p.sang.s,-1.06,4.5747691522,smoothed
p.sang.s,-1.07,4.5592949348,smoothed
p.sang.s,-1.08,4.5436517803,smoothed
p.sang.s,-1.09,4.5278417892,smoothed
p.sang.s,-1.1,4.5118670794,smoothed
p.sang.s,-1.11,4.495729785,smoothed
p.sang.s,-1.12,4.4794320564,smoothed
p.sang.s,-1.13,4.4629760598,smoothed
p.sang.s,-1.14,4.4463639764,smoothed
p.sang.s,-1.15,4.429598002,smoothed
p.sang.s,-1.16,4.4126803469,smoothed
p.sang.s,-1.17,4.395613235,smoothed
p.sang.s,-1.18,4.3783989033,smoothed
p.sang.s,-1.19,4.3610396017,smoothed
p.sang.s,-1.2,4.3435375925,smoothed
p.sang.s,-1.21,4.3258951494,smoothed
p.sang.s,-1.22,4.3081145579,smoothed
p.sang.s,-1.23,4.2901981138,smoothed
p.sang.s,-1.24,4.2721481236,smoothed
p.sang.s,-1.25,4.2539669035,smoothed
p.sang.s,-1.26,4.2356567789,smoothed
p.sang.s,-1.27,4.2172200841,smoothed
p.sang.s,-1.28,4.1986591619,smoothed
p.sang.s,-1.29,4.1799763628,smoothed
p.sang.s,-1.3,4.1611740448,smoothed
p.sang.s,-1.31,4.1422545725,smoothed
p.sang.s,-1.32,4.1232203173,smoothed
p.sang.s,-1.33,4.104073656,smoothed
p.sang.s,-1.34,4.0848169712,smoothed
p.sang.s,-1.35,4.0654526503,smoothed
p.sang.s,-1.36,4.045983085,smoothed
p.sang.s,-1.37,4.0264106712,smoothed
p.sang.s,-1.38,4.0067378079,smoothed
p.sang.s,-1.39,3.9869668975,smoothed
p.sang.s,-1.4,3.9671003445,smoothed
p.sang.s,-1.41,3.9471405556,smoothed
p.sang.s,-1.42,3.9270899392,smoothed
p.sang.s,-1.43,3.9069509044,smoothed
p.sang.s,-1.44,3.8867258612,smoothed
p.sang.s,-1.45,3.8664172195,smoothed
p.sang.s,-1.46,3.8460273889,smoothed
p.sang.s,-1.47,3.8255587784,smoothed
p.sang.s,-1.48,3.8050137953,smoothed
p.sang.s,-1.49,3.7843948456,smoothed
p.sang.s,-1.5,3.7637043328,smoothed
p.sang.s,-1.51,3.7429446578,smoothed
p.sang.s,-1.52,3.7221182185,smoothed
p.sang.s,-1.53,3.7012274092,smoothed
p.sang.s,-1.54,3.68027462,smoothed
p.sang.s,-1.55,3.6592622369,smoothed
p.sang.s,-1.56,3.6381926407,smoothed
p.sang.s,-1.57,3.6170682072,smoothed
p.sang.s,-1.58,3.5958913061,smoothed
p.sang.s,-1.59,3.5746643012,smoothed
p.sang.s,-1.6,3.5533895496,smoothed
p.sang.s,-1.61,3.5320694013,smoothed
p.sang.s,-1.62,3.5107061991,smoothed
p.sang.s,-1.63,3.4893022777,smoothed
p.sang.s,-1.64,3.4678599638,smoothed
p.sang.s,-1.65,3.4463815751,smoothed
p.sang.s,-1.66,3.4248694207,smoothed
p.sang.s,-1.67,3.4033257999,smoothed
p.sang.s,-1.68,3.3817530024,smoothed
p.sang.s,-1.69,3.3601533075,smoothed
p.sang.s,-1.7,3.3385289841,smoothed
p.sang.s,-1.71,3.31688229,smoothed
p.sang.s,-1.72,3.2952154718,smoothed
p.sang.s,-1.73,3.2735307642,smoothed
p.sang.s,-1.74,3.2518303902,smoothed
p.sang.s,-1.75,3.23011656,smoothed
p.sang.s,-1.76,3.2083914713,smoothed
p.sang.s,-1.77,3.1866573087,smoothed
p.sang.s,-1.78,3.1649162433,smoothed
p.sang.s,-1.79,3.1431704325,smoothed
p.sang.s,-1.8,3.1214220196,smoothed
p.sang.s,-1.81,3.0996731334,smoothed
p.sang.s,-1.82,3.0779258882,smoothed
p.sang.s,-1.83,3.0561823831,smoothed
p.sang.s,-1.84,3.034444702,smoothed
p.sang.s,-1.85,3.0127149131,smoothed
p.sang.s,-1.86,2.9909950687,smoothed
p.sang.s,-1.87,2.9692872049,smoothed
p.sang.s,-1.88,2.9475933414,smoothed
p.sang.s,-1.89,2.925915481,smoothed
p.sang.s,-1.9,2.9042556097,smoothed
p.sang.s,-1.91,2.8826156961,smoothed
p.sang.s,-1.92,2.8609976913,smoothed
p.sang.s,-1.93,2.8394035286,smoothed
p.sang.s,-1.94,2.8178351233,smoothed
p.sang.s,-1.95,2.7962943724,smoothed
p.sang.s,-1.96,2.7747831546,smoothed
p.sang.s,-1.97,2.7533033296,smoothed
p.sang.s,-1.98,2.7318567386,smoothed
p.sang.s,-1.99,2.7104452032,smoothed
p.sang.s,-2.0,2.6890705259,smoothed
p.sang.s,-2.01,2.6677344898,smoothed
p.sang.s,-2.02,2.6464388579,smoothed
p.sang.s,-2.03,2.6251853737,smoothed
p.sang.s,-2.04,2.6039757604,smoothed
p.sang.s,-2.05,2.5828117208,smoothed
p.sang.s,-2.06,2.5616949376,smoothed
p.sang.s,-2.07,2.5406270726,smoothed
p.sang.s,-2.08,2.5196097671,smoothed
p.sang.s,-2.09,2.4986446413,smoothed
p.sang.s,-2.1,2.4777332945,smoothed
p.sang.s,-2.11,2.4568773048,smoothed
p.sang.s,-2.12,2.436078229,smoothed
p.sang.s,-2.13,2.4153376024,smoothed
p.sang.s,-2.14,2.394656939,smoothed
p.sang.s,-2.15,2.3740377308,smoothed
p.sang.s,-2.16,2.3534814483,smoothed
p.sang.s,-2.17,2.3329895401,smoothed
p.sang.s,-2.18,2.3125634328,smoothed
p.sang.s,-2.19,2.292204531,smoothed
p.sang.s,-2.2,2.2719142174,smoothed
p.sang.s,-2.21,2.2516938521,smoothed
p.sang.s,-2.22,2.2315447732,smoothed
p.sang.s,-2.23,2.2114682966,smoothed
p.sang.s,-2.24,2.1914657157,smoothed
p.sang.s,-2.25,2.1715383014,smoothed
p.sang.s,-2.26,2.1516873022,smoothed
p.sang.s,-2.27,2.1319139442,smoothed
p.sang.s,-2.28,2.112219431,smoothed
p.sang.s,-2.29,2.0926049434,smoothed
p.sang.s,-2.3,2.0730716398,smoothed
p.sang.s,-2.31,2.0536206561,smoothed
p.sang.s,-2.32,2.0342531054,smoothed
p.sang.s,-2.33,2.0149700783,smoothed
p.sang.s,-2.34,1.9957726429,smoothed
p.sang.s,-2.35,1.9766618444,smoothed
p.sang.s,-2.36,1.9576387057,smoothed
p.sang.s,-2.37,1.9387042271,smoothed
p.sang.s,-2.38,1.9198593862,smoothed
p.sang.s,-2.39,1.9011051382,smoothed
p.sang.s,-2.4,1.882442416,smoothed
p.sang.s,-2.41,1.8638721296,smoothed
p.sang.s,-2.42,1.8453951671,smoothed
p.sang.s,-2.43,1.827012394,smoothed
p.sang.s,-2.44,1.8087246534,smoothed
p.sang.s,-2.45,1.7905327665,smoothed
p.sang.s,-2.46,1.772437532,smoothed
p.sang.s,-2.47,1.7544397266,smoothed
p.sang.s,-2.48,1.7365401052,smoothed
p.sang.s,-2.49,1.7187394004,smoothed
p.sang.s,-2.5,1.701038323,smoothed
p.sang.s,-2.51,1.6834375623,smoothed
p.sang.s,-2.52,1.6659377856,smoothed
p.sang.s,-2.53,1.6485396387,smoothed
p.sang.s,-2.54,1.6312437459,smoothed
p.sang.s,-2.55,1.6140507101,smoothed
p.sang.s,-2.56,1.596961113,smoothed
p.sang.s,-2.57,1.579975515,smoothed
p.sang.s,-2.58,1.5630944554,smoothed
p.sang.s,-2.59,1.5463184528,smoothed
p.sang.s,-2.6,1.5296480048,smoothed
p.sang.s,-2.61,1.5130835882,smoothed
p.sang.s,-2.62,1.4966256595,smoothed
p.sang.s,-2.63,1.4802746546,smoothed
p.sang.s,-2.64,1.4640309892,smoothed
p.sang.s,-2.65,1.4478950588,smoothed
p.sang.s,-2.66,1.4318672389,smoothed
p.sang.s,-2.67,1.4159478851,smoothed
p.sang.s,-2.68,1.4001373336,smoothed
p.sang.s,-2.69,1.3844359005,smoothed
p.sang.s,-2.7,1.368843883,smoothed
p.sang.s,-2.71,1.3533615588,smoothed
p.sang.s,-2.72,1.3379891867,smoothed
p.sang.s,-2.73,1.3227270064,smoothed
p.sang.s,-2.74,1.307575239,smoothed
p.sang.s,-2.75,1.292534087,smoothed
p.sang.s,-2.76,1.2776037346,smoothed
p.sang.s,-2.77,1.2627843476,smoothed
p.sang.s,-2.78,1.2480760739,smoothed
p.sang.s,-2.79,1.2334790434,smoothed
p.sang.s,-2.8,1.2189933686,smoothed
p.sang.s,-2.81,1.2046191442,smoothed
p.sang.s,-2.82,1.1903564478,smoothed
p.sang.s,-2.83,1.1762053399,smoothed
p.sang.s,-2.84,1.1621658638,smoothed
p.sang.s,-2.85,1.1482380464,smoothed
p.sang.s,-2.86,1.134421898,smoothed
p.sang.s,-2.87,1.1207174123,smoothed
p.sang.s,-2.88,1.1071245672,smoothed
p.sang.s,-2.89,1.0936433245,smoothed
p.sang.s,-2.9,1.0802736303,smoothed
p.sang.s,-2.91,1.067015415,smoothed
p.sang.s,-2.92,1.0538685939,smoothed
p.sang.s,-2.93,1.0408330671,smoothed
p.sang.s,-2.94,1.0279087196,smoothed
p.sang.s,-2.95,1.015095422,smoothed
p.sang.s,-2.96,1.0023930301,smoothed
p.sang.s,-2.97,0.9898013855,smoothed
p.sang.s,-2.98,0.9773203158,smoothed
p.sang.s,-2.99,0.9649496346,smoothed
p.sang.s,-3.0,0.9526891418,smoothed
p.sang.s,-3.01,0.940538624,smoothed
p.sang.s,-3.02,0.9284978545,smoothed
p.sang.s,-3.03,0.9165665933,smoothed
p.sang.s,-3.04,0.9047445881,smoothed
p.sang.s,-3.05,0.8930315735,smoothed
p.sang.s,-3.06,0.881427272,smoothed
p.sang.s,-3.07,0.8699313937,smoothed
p.sang.s,-3.08,0.8585436371,smoothed
p.sang.s,-3.09,0.8472636885,smoothed
p.sang.s,-3.1,0.8360912229,smoothed
p.sang.s,-3.11,0.8250259041,smoothed
p.sang.s,-3.12,0.8140673845,smoothed
p.sang.s,-3.13,0.8032153058,smoothed
p.sang.s,-3.14,0.792469299,smoothed
p.sang.s,-3.15,0.7818289847,smoothed
p.sang.s,-3.16,0.771293973,smoothed
p.sang.s,-3.17,0.7608638642,smoothed
p.sang.s,-3.18,0.7505382488,smoothed
p.sang.s,-3.19,0.7403167074,smoothed
p.sang.s,-3.2,0.7301988115,smoothed
p.sang.s,-3.21,0.7201841232,smoothed
p.sang.s,-3.22,0.7102721958,smoothed
p.sang.s,-3.23,0.7004625738,smoothed
p.sang.s,-3.24,0.690754793,smoothed
p.sang.s,-3.25,0.6811483808,smoothed
p.sang.s,-3.26,0.6716428568,smoothed
p.sang.s,-3.27,0.6622377323,smoothed
p.sang.s,-3.28,0.6529325111,smoothed
p.sang.s,-3.29,0.6437266893,smoothed
p.sang.s,-3.3,0.6346197557,smoothed
p.sang.s,-3.31,0.6256111922,smoothed
p.sang.s,-3.32,0.6167004734,smoothed
p.sang.s,-3.33,0.6078870674,smoothed
p.sang.s,-3.34,0.5991704358,smoothed
p.sang.s,-3.35,0.5905500338,smoothed
p.sang.s,-3.36,0.5820253105,smoothed
p.sang.s,-3.37,0.5735957089,smoothed
p.sang.s,-3.38,0.5652606667,smoothed
p.sang.s,-3.39,0.5570196154,smoothed
p.sang.s,-3.4,0.5488719817,smoothed
p.sang.s,-3.41,0.5408171869,smoothed
p.sang.s,-3.42,0.5328546473,smoothed
p.sang.s,-3.43,0.5249837743,smoothed
p.sang.s,-3.44,0.517203975,smoothed
p.sang.s,-3.45,0.5095146518,smoothed
p.sang.s,-3.46,0.5019152029,smoothed
p.sang.s,-3.47,0.4944050225,smoothed
p.sang.s,-3.48,0.4869835009,smoothed
p.sang.s,-3.49,0.4796500246,smoothed
p.sang.s,-3.5,0.4724039766,smoothed
p.sang.s,-3.51,0.4652447365,smoothed
p.sang.s,-3.52,0.4581716808,smoothed
p.sang.s,-3.53,0.4511841829,smoothed
p.sang.s,-3.54,0.4442816133,smoothed
p.sang.s,-3.55,0.4374633399,smoothed
p.sang.s,-3.56,0.4307287279,smoothed
p.sang.s,-3.57,0.4240771404,smoothed
p.sang.s,-3.58,0.417507938,smoothed
p.sang.s,-3.59,0.4110204795,smoothed
p.sang.s,-3.6,0.4046141215,smoothed
p.sang.s,-3.61,0.3982882191,smoothed
p.sang.s,-3.62,0.3920421257,smoothed
p.sang.s,-3.63,0.3858751933,smoothed
p.sang.s,-3.64,0.3797867727,smoothed
p.sang.s,-3.65,0.3737762133,smoothed
p.sang.s,-3.66,0.3678428636,smoothed
p.sang.s,-3.67,0.3619860714,smoothed
p.sang.s,-3.68,0.3562051836,smoothed
p.sang.s,-3.69,0.3504995465,smoothed
p.sang.s,-3.7,0.3448685061,smoothed
p.sang.s,-3.71,0.3393114079,smoothed
p.sang.s,-3.72,0.3338275974,smoothed
p.sang.s,-3.73,0.3284164198,smoothed
p.sang.s,-3.74,0.3230772206,smoothed
p.sang.s,-3.75,0.3178093455,smoothed
p.sang.s,-3.76,0.3126121402,smoothed
p.sang.s,-3.77,0.3074849513,smoothed
p.sang.s,-3.78,0.3024271256,smoothed
p.sang.s,-3.79,0.2974380107,smoothed
p.sang.s,-3.8,0.2925169551,smoothed
p.sang.s,-3.81,0.287663308,smoothed
p.sang.s,-3.82,0.2828764198,smoothed
p.sang.s,-3.83,0.2781556418,smoothed
p.sang.s,-3.84,0.2735003269,smoothed
p.sang.s,-3.85,0.2689098289,smoothed
p.sang.s,-3.86,0.2643835033,smoothed
p.sang.s,-3.87,0.2599207071,smoothed
p.sang.s,-3.88,0.255520799,smoothed
p.sang.s,-3.89,0.2511831392,smoothed
p.sang.s,-3.9,0.2469070899,smoothed
p.sang.s,-3.91,0.2426920152,smoothed
p.sang.s,-3.92,0.2385372813,smoothed
p.sang.s,-3.93,0.2344422563,smoothed
p.sang.s,-3.94,0.2304063106,smoothed
p.sang.s,-3.95,0.2264288169,smoothed
p.sang.s,-3.96,0.2225091501,smoothed
p.sang.s,-3.97,0.2186466877,smoothed
p.sang.s,-3.98,0.2148408096,smoothed
p.sang.s,-3.99,0.2110908983,smoothed
p.sang.s,-4.0,0.207396339,smoothed
p.sang.s,-4.01,0.2037565197,smoothed
p.sang.s,-4.02,0.200170831,smoothed
p.sang.s,-4.03,0.1966386664,smoothed
p.sang.s,-4.04,0.1931594226,smoothed
p.sang.s,-4.05,0.1897324989,smoothed
p.sang.s,-4.06,0.1863572981,smoothed
p.sang.s,-4.07,0.1830332257,smoothed
p.sang.s,-4.08,0.1797596907,smoothed
p.sang.s,-4.09,0.1765361052,smoothed
p.sang.s,-4.1,0.1733618847,smoothed
p.sang.s,-4.11,0.1702364478,smoothed
p.sang.s,-4.12,0.1671592167,smoothed
p.sang.s,-4.13,0.1641296171,smoothed
p.sang.s,-4.14,0.1611470782,smoothed
p.sang.s,-4.15,0.1582110325,smoothed
p.sang.s,-4.16,0.1553209163,smoothed
p.sang.s,-4.17,0.1524761696,smoothed
p.sang.s,-4.18,0.1496762358,smoothed
p.sang.s,-4.19,0.1469205624,smoothed
p.sang.s,-4.2,0.1442086004,smoothed
p.sang.s,-4.21,0.1415398045,smoothed
p.sang.s,-4.22,0.1389136335,smoothed
p.sang.s,-4.23,0.13632955,smoothed
p.sang.s,-4.24,0.1337870202,smoothed
p.sang.s,-4.25,0.1312855147,smoothed
p.sang.s,-4.26,0.1288245076,smoothed
p.sang.s,-4.27,0.1264034773,smoothed
p.sang.s,-4.28,0.1240219061,smoothed
p.sang.s,-4.29,0.1216792802,smoothed
p.sang.s,-4.3,0.1193750901,smoothed
p.sang.s,-4.31,0.1171088302,smoothed
p.sang.s,-4.32,0.1148799991,smoothed
p.sang.s,-4.33,0.1126880994,smoothed
p.sang.s,-4.34,0.110532638,smoothed
p.sang.s,-4.35,0.1084131257,smoothed
p.sang.s,-4.36,0.1063290777,smoothed
p.sang.s,-4.37,0.1042800133,smoothed
p.sang.s,-4.38,0.102265456,smoothed
p.sang.s,-4.39,0.1002849334,smoothed
p.sang.s,-4.4,0.0983379774,smoothed
p.sang.s,-4.41,0.0964241242,smoothed
p.sang.s,-4.42,0.0945429141,smoothed
p.sang.s,-4.43,0.0926938917,smoothed
p.sang.s,-4.44,0.0908766057,smoothed
p.sang.s,-4.45,0.0890906093,smoothed
p.sang.s,-4.46,0.0873354598,smoothed
p.sang.s,-4.47,0.0856107187,smoothed
p.sang.s,-4.48,0.0839159518,smoothed
p.sang.s,-4.49,0.0822507292,smoothed
p.sang.s,-4.5,0.0806146252,smoothed
p.sang.s,-4.51,0.0790072183,smoothed
p.sang.s,-4.52,0.0774280913,smoothed
p.sang.s,-4.53,0.0758768313,smoothed
p.sang.s,-4.54,0.0743530295,smoothed
p.sang.s,-4.55,0.0728562814,smoothed
p.sang.s,-4.56,0.0713861867,smoothed
p.sang.s,-4.57,0.0699423494,smoothed
p.sang.s,-4.58,0.0685243776,smoothed
p.sang.s,-4.59,0.0671318835,smoothed
p.sang.s,-4.6,0.0657644837,smoothed
p.sang.s,-4.61,0.064421799,smoothed
p.sang.s,-4.62,0.063103454,smoothed
p.sang.s,-4.63,0.0618090779,smoothed
p.sang.s,-4.64,0.0605383037,smoothed
p.sang.s,-4.65,0.0592907688,smoothed
p.sang.s,-4.66,0.0580661143,smoothed
p.sang.s,-4.67,0.0568639859,smoothed
p.sang.s,-4.68,0.055684033,smoothed
p.sang.s,-4.69,0.0545259092,smoothed
p.sang.s,-4.7,0.0533892721,smoothed
p.sang.s,-4.71,0.0522737834,smoothed
p.sang.s,-4.72,0.0511791086,smoothed
p.sang.s,-4.73,0.0501049175,smoothed
p.sang.s,-4.74,0.0490508837,smoothed
p.sang.s,-4.75,0.0480166846,smoothed
p.sang.s,-4.76,0.0470020018,smoothed
p.sang.s,-4.77,0.0460065205,smoothed
