species,matric_pot,hyphal_rate,type
a.gal1.s,-0.0,0.0015847582,smoothed
a.gal1.s,-0.01,0.0018883085,smoothed
a.gal1.s,-0.02,0.0022426775,smoothed
a.gal1.s,-0.03,0.0026549017,smoothed
a.gal1.s,-0.04,0.0031327214,smoothed
a.gal1.s,-0.05,0.0036846045,smoothed
a.gal1.s,-0.06,0.0043197638,smoothed
a.gal1.s,-0.07,0.0050481654,smoothed
a.gal1.s,-0.08,0.0058805261,smoothed
a.gal1.s,-0.09,0.0068282999,smoothed
a.gal1.s,-0.1,0.0079036511,smoothed
a.gal1.s,-0.11,0.0091194123,smoothed
a.gal1.s,-0.12,0.0104890276,smoothed
a.gal1.s,-0.13,0.0120264785,smoothed
a.gal1.s,-0.14,0.0137461921,smoothed
a.gal1.s,-0.15,0.0156629321,smoothed
a.gal1.s,-0.16,0.017791671,smoothed
a.gal1.s,-0.17,0.0201474452,smoothed
a.gal1.s,-0.18,0.0227451924,smoothed
a.gal1.s,-0.19,0.025599574,smoothed
a.gal1.s,-0.2,0.0287247823,smoothed
a.gal1.s,-0.21,0.0321343369,smoothed
a.gal1.s,-0.22,0.0358408702,smoothed
a.gal1.s,-0.23,0.0398559081,smoothed
a.gal1.s,-0.24,0.0441896473,smoothed
a.gal1.s,-0.25,0.048850733,smoothed
a.gal1.s,-0.26,0.0538460433,smoothed
a.gal1.s,-0.27,0.059180482,smoothed
a.gal1.s,-0.28,0.0648567864,smoothed
a.gal1.s,-0.29,0.0708753535,smoothed
a.gal1.s,-0.3,0.0772340893,smoothed
a.gal1.s,-0.31,0.0839282853,smoothed
a.gal1.s,-0.32,0.090950527,smoothed
a.gal1.s,-0.33,0.0982906356,smoothed
a.gal1.s,-0.34,0.1059356482,smoothed
a.gal1.s,-0.35,0.1138698373,smoothed
a.gal1.s,-0.36,0.1220747704,smoothed
a.gal1.s,-0.37,0.1305294123,smoothed
a.gal1.s,-0.38,0.1392102672,smoothed
a.gal1.s,-0.39,0.1480915614,smoothed
a.gal1.s,-0.4,0.1571454636,smoothed
a.gal1.s,-0.41,0.1663423394,smoothed
a.gal1.s,-0.42,0.1756510375,smoothed
a.gal1.s,-0.43,0.1850392013,smoothed
a.gal1.s,-0.44,0.194473602,smoothed
a.gal1.s,-0.45,0.2039204873,smoothed
a.gal1.s,-0.46,0.2133459389,smoothed
a.gal1.s,-0.47,0.2227162332,smoothed
a.gal1.s,-0.48,0.2319981984,smoothed
a.gal1.s,-0.49,0.2411595624,smoothed
a.gal1.s,-0.5,0.2501692837,smoothed
a.gal1.s,-0.51,0.2589978623,smoothed
a.gal1.s,-0.52,0.2676176223,smoothed
a.gal1.s,-0.53,0.2760029647,smoothed
a.gal1.s,-0.54,0.2841305847,smoothed
a.gal1.s,-0.55,0.2919796507,smoothed
a.gal1.s,-0.56,0.299531944,smoothed
a.gal1.s,-0.57,0.3067719573,smoothed
a.gal1.s,-0.58,0.3136869512,smoothed
a.gal1.s,-0.59,0.3202669707,smoothed
a.gal1.s,-0.6,0.3265048219,smoothed
a.gal1.s,-0.61,0.3323960112,smoothed
a.gal1.s,-0.62,0.3379386514,smoothed
a.gal1.s,-0.63,0.3431333353,smoothed
a.gal1.s,-0.64,0.3479829833,smoothed
a.gal1.s,-0.65,0.3524926684,smoothed
a.gal1.s,-0.66,0.3566694217,smoothed
a.gal1.s,-0.67,0.3605220257,smoothed
a.gal1.s,-0.68,0.3640607964,smoothed
a.gal1.s,-0.69,0.3672973622,smoothed
a.gal1.s,-0.7,0.3702444408,smoothed
a.gal1.s,-0.71,0.37291562,smoothed
a.gal1.s,-0.72,0.375325144,smoothed
a.gal1.s,-0.73,0.3774877109,smoothed
a.gal1.s,-0.74,0.3794182807,smoothed
a.gal1.s,-0.75,0.381131899,smoothed
a.gal1.s,-0.76,0.3826435357,smoothed
a.gal1.s,-0.77,0.3839679413,smoothed
a.gal1.s,-0.78,0.3851195208,smoothed
a.gal1.s,-0.79,0.3861122259,smoothed
a.gal1.s,-0.8,0.3869594647,smoothed
a.gal1.s,-0.81,0.3876740293,smoothed
a.gal1.s,-0.82,0.3882680395,smoothed
a.gal1.s,-0.83,0.3887529026,smoothed
a.gal1.s,-0.84,0.3891392876,smoothed
a.gal1.s,-0.85,0.389437112,smoothed
a.gal1.s,-0.86,0.3896555411,smoothed
a.gal1.s,-0.87,0.3898029965,smoothed
a.gal1.s,-0.88,0.389887174,smoothed
a.gal1.s,-0.89,0.389915068,smoothed
a.gal1.s,-0.9,0.3898930024,smoothed
a.gal1.s,-0.91,0.3898266654,smoothed
a.gal1.s,-0.92,0.389721148,smoothed
a.gal1.s,-0.93,0.3895809839,smoothed
a.gal1.s,-0.94,0.3894101914,smoothed
a.gal1.s,-0.95,0.389212315,smoothed
a.gal1.s,-0.96,0.3889904668,smoothed
a.gal1.s,-0.97,0.388747367,smoothed
a.gal1.s,-0.98,0.3884853821,smoothed
a.gal1.s,-0.99,0.3882065626,smoothed
a.gal1.s,-1.0,0.3879126769,smoothed
a.gal1.s,-1.01,0.3876052442,smoothed
a.gal1.s,-1.02,0.387285564,smoothed
a.gal1.s,-1.03,0.3869547437,smoothed
